,_id,protocol,hpfeed_id,timestamp,source_ip,destination_ip,identifier,honeypot,type
589,ObjectId(5e280b0c3186f205962b077b),ICMP,ObjectId(5e280b093186f205962b040a),2020-01-22T08:42:49.645Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
592,ObjectId(5e280b0c3186f205962b0780),ICMP,ObjectId(5e280b093186f205962b03e9),2020-01-22T08:42:49.493Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
596,ObjectId(5e280b0c3186f205962b0787),ICMP,ObjectId(5e280b093186f205962b03df),2020-01-22T08:42:49.470Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
601,ObjectId(5e280b0c3186f205962b078f),ICMP,ObjectId(5e280b093186f205962b03d3),2020-01-22T08:42:49.443Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
603,ObjectId(5e280b0c3186f205962b0792),ICMP,ObjectId(5e280b093186f205962b03ce),2020-01-22T08:42:49.433Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
607,ObjectId(5e280b0d3186f205962b0799),ICMP,ObjectId(5e280b093186f205962b03c3),2020-01-22T08:42:49.410Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
612,ObjectId(5e280b0d3186f205962b07a1),ICMP,ObjectId(5e280b093186f205962b03b7),2020-01-22T08:42:49.385Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
617,ObjectId(5e280b0d3186f205962b07aa),ICMP,ObjectId(5e280b093186f205962b03aa),2020-01-22T08:42:49.357Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
620,ObjectId(5e280b0d3186f205962b07af),ICMP,ObjectId(5e280b093186f205962b03a2),2020-01-22T08:42:49.341Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
622,ObjectId(5e280b0d3186f205962b07b2),ICMP,ObjectId(5e280b093186f205962b039d),2020-01-22T08:42:49.331Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
